Weekly Petrol Price Update,Price of RON95/litre,Price of RON97/litre,Price of Diesel/litre
19 Oct 每 25 Oct 2019,2.08,2.68,2.18
12 Oct 每 18 Oct 2019,2.08,2.67,2.18
5 Oct 每 11 Oct 2019,2.08,2.6,2.18
28 Sep 每 4 Oct 2019,2.08,2.79,2.18
21 Sep 每 27 Sep 2019,2.08,2.67,2.18
14 Sep 每 20 Sep 2019,2.08,2.53,2.18
7 Sep 每 13 Sep 2019,2.08,2.5,2.18
31 Aug 每 6 Sep 2019,2.08,2.5,2.18
24 Aug 每 30 Aug 2019,2.08,2.51,2.18
17 Aug 每 23 Aug 2019,2.08,2.49,2.18
10 Aug 每 16 Aug 2019,2.08,2.49,2.18
3 Aug 每 9 Aug 2019,2.08,2.54,2.18
27 July 每 2 Aug 2019,2.08,2.56,2.18
20 July 每 26 July 2019,2.08,2.67,2.18
13 July 每 19 July 2019,2.08,2.57,2.18
6 July 每 12 July 2019,2.08,2.53,2.18
29 June 每 5 July 2019,2.08,2.49,2.18
22 June 每 28 June 2019,2.08,2.38,2.18
15 June 每 21 June 2019,2.08,2.41,2.18
1 June 每 14 June 2019,2.08,2.63,2.18
